"Monthly Activity Report"

"User: ",Toolfree-kh
Month,"Carry Forward","Top-up amount","Removed Amount","Total amount","Used Amount","SMS Sent",Recipients
January,0,432.0455,1,431.0455,210.7490,7882,7882
February,220.6265,706.0000,200,726.6265,587.8488,19068,19067
March,193.2337,300.0000,0,493.2337,321.2836,9998,9998
April,171.9501,0,0,171.9501,21.0584,640,640
May,150.8917,0,0,150.8917,90.5366,2869,2869
June,60.3551,300.0000,0,360.3551,122.0494,3733,3733
July,238.3057,300.0000,0,538.3057,397.7908,12113,12113
August,140.5149,300.0000,0,440.5149,161.0840,4941,4941
September,279.4309,0,0,279.4309,120.5006,3705,3705
October,158.9303,0,0,158.9303,134.7192,4178,4178
November,24.2111,300.0000,0,324.2111,77.8580,2376,2376
December,246.3531,669.4232,0,915.7763,854.2490,26557,26557
